,Date,Title,Categories,Cast
99,"Nov 10, 2023",Journey to Bethlehem (2023),,Antonio Banderas#Antonio Cantos#Stephanie Gil#Lecrae
100,"Nov 10, 2023",Untitled Nativity Project (2023),Musical,Antonio Banderas#Milo Manheim#Omid Djalili#Rizwan Manji
101,"Nov 12, 2023",The Skull (2023),Sci-Fi,
102,"Nov 17, 2023",The Hunger Games: The Ballad of Songbirds and Snakes (2023),Action#Adventure#Drama,Rachel Zegler#Hunter Schafer#Viola Davis#Jason Schwartzman
103,"Nov 17, 2023",Gol Gana (2023),Comedy#Drama#Sport,Michael Fassbender#Oscar Kightley#Kaimana#David Fane
104,"Nov 17, 2023",Trolls 3: Se armó la banda (2023),Animation#Adventure#Comedy,Daveed Diggs#Anna Kendrick#Zooey Deschanel#Christopher Mintz-Plasse
105,"Nov 17, 2023",Thanksgiving (2023),Horror#Mystery#Thriller,Gina Gershon#Rick Hoffman#Patrick Dempsey#Milo Manheim
106,"Nov 17, 2023",Untitled Cord Jefferson Film (2023),Drama,Elle Sciore#Adam Brody#Miriam Shor#Leslie Uggams
107,"Nov 22, 2023",Napoleon (2023),Action#Biography#Drama,Vanessa Kirby#Joaquin Phoenix#Ludivine Sagnier#Ben Miles
108,"Nov 22, 2023",Wish: El poder de los deseos (2023),Animation#Adventure#Comedy,Chris Pine#Alan Tudyk#Ariana DeBose
109,"Nov 22, 2023",The Holdovers (2023),Comedy#Drama,Paul Giamatti#Da'Vine Joy Randolph#Dominic Sessa#Carrie Preston
110,"Nov 22, 2023",Betrayal (2023),Crime,Ken Davitian#José Pérez#Mel Novak#Alexandra Keller
111,"Nov 24, 2023",A Figgly Christmas (2023),Animation#Comedy#Family,"Tesha Clark#Matthew Clark ""Ghost""#Kathleen Shugrue#Steven W Lowe"
112,"Dec 01, 2023",Animal Crossing Christmas Festival: The Movie! (2023),Animation#Adventure,Kimberly Brooks#Luke Youngblood#Larry the Cable Guy
113,"Dec 01, 2023",Fuck Them All! (2023),Biography,Old-Nick#Bruno Aversa#Stephen Quildan#Margaret Mccray
114,"Dec 01, 2023",21st Century Cleo (2023),Action#Drama#Family,Julian Seager#Miray Dogan#Robert DeAngelo#Charles Heimlich
115,"Dec 01, 2023",The Accident (2023),,Kaylee Williams#Jeffrey Schneider#Donna Hamblin#Cathy Loch
116,"Dec 01, 2023",From the Ashes (2023),Drama,Jeanne Neilson#Paul du Toit#Syreeta Banks#Jeremy John Wells
117,"Dec 01, 2023",A Night Without Tears (2023),Mystery,Marta Levenfeld#Elia Fernández#Gonzalo Ramos#Victor Ramos
118,"Dec 08, 2023",Magazine Dreams (2023),Drama,Jonathan Majors#Harrison Page#Harriet Sansom Harris#Haley Bennett
119,"Dec 11, 2023",A Small Town Christmas (2023),Drama,Gin Blanton
120,"Dec 12, 2023",Mia's Bridge (2023),Drama,
121,"Dec 15, 2023",Wonka (2023),Adventure#Comedy#Family,Timothée Chalamet#Hugh Grant#Keegan-Michael Key#Olivia Colman
122,"Dec 15, 2023",Anyone But You (2023),Comedy#Romance,Sydney Sweeney#Dermot Mulroney#Glen Powell#Darren Barnet
123,"Dec 15, 2023",Happy Suicide (2023),Drama#Thriller,Johann Urb#Reila Aphrodite#Craig Stark#Tim Neff
124,"Dec 15, 2023",Rainbows (2023),Family,Larry Birkhead#Barry Jay Minoff#Michael Gibb#J.J. Crowne
125,"Dec 15, 2023",IJ Inspector Jamshed (2023),Action#Adventure#Family,Omair Rana#Ahad Raza Mir#Anoushay Abbasi#Faran Tahir
126,"Dec 20, 2023",Aquaman and the Lost Kingdom (2023),Action#Adventure#Fantasy,Jason Momoa#Ben Affleck#Patrick Wilson#Yahya Abdul-Mateen II
127,"Dec 20, 2023",Ghostbusters Sequel (2023),Adventure#Comedy#Fantasy,Mckenna Grace#Paul Rudd#Carrie Coon#Patton Oswalt
128,"Dec 22, 2023",Migration (2023),Animation#Adventure#Comedy,Awkwafina#Elizabeth Banks#Keegan-Michael Key#Danny DeVito
129,"Dec 22, 2023",Shepherd (2023),Drama,Nirine S. Brown#Julian Gant#Ajarae Coleman#Wendell Kinney
130,"Dec 22, 2023",Mob Humor 2022 (2023),Comedy,Tom Sizemore#Dennyann Giambrone#Andrew S Cortez#William Petrano
131,"Dec 25, 2023",The Color Purple (2023),Drama#Musical,Halle Bailey#Elizabeth Marvel#Colman Domingo#Taraji P. Henson
132,"Dec 25, 2023",Lost Weekend (2023),Comedy,
133,"Dec 25, 2023",The Boys in the Boat (2023),Biography#Drama#Sport,Joel Edgerton#Chris Diamantopoulos#Courtney Henggeler#Callum Turner
134,"Dec 25, 2023",Target Number One (2023),Action#Thriller,Arben Bajraktaraj#Andy Deliana#Michael Segál#Klodian Hoxha
135,"Dec 29, 2023",Alien Wars: Judgement Day (2023),Sci-Fi,Jeffrey Schneider#Donna Hamblin#Luc Bernier#Frederick Ortmann
136,"Dec 29, 2023",Extinction (2023),Animation#Adventure#Comedy,Jenny Black#Paul Blackthorne#Izzy Handshake#Carey Means
137,"Jan 12, 2024",Bob Marley: One Love (2024),Biography#Drama#Music,James Norton#Lashana Lynch#Kingsley Ben-Adir#Michael Gandolfini
138,"Jan 12, 2024",El Muerto (2024),Action#Adventure#Sci-Fi,Bad Bunny
139,"Jan 19, 2024",The Tiger's Apprentice (2024),Animation#Action#Adventure,Michelle Yeoh#Sandra Oh#Leah Lewis#Henry Golding
140,"Jan 25, 2024",Fighter (2024),Action#Thriller,Hrithik Roshan#Deepika Padukone#Anil Kapoor#Akarsh Alagh
141,"Jan 25, 2024",Teacher's Pet (2024),Animation#Thriller,
142,"Jan 31, 2024",The Epidemic (2024),Action#Adventure#Crime,Eric Roberts#Chris Owen#Kurt Angle#Shawn C. Phillips
143,"Feb 02, 2024",Wise Guys (2024),Biography#Crime#Drama,Robert De Niro#Debra Messing#Cosmo Jarvis#Kathrine Narducci
144,"Feb 02, 2024",Imaginary (2024),Horror,Suzette Lange
145,"Feb 09, 2024",Untitled Dirty Dancing Project (2024),Drama#Music#Musical,Jennifer Grey
146,"Feb 09, 2024",Untitled Universal Animated Event Film (2024),,
147,"Feb 14, 2024",What About Love (2024),Drama#Romance,Sharon Stone#Andy Garcia#Rosabell Laurenti Sellers#Jose Coronado
148,"Feb 16, 2024",Madame Web (2024),Action#Adventure#Sci-Fi,Sydney Sweeney#Emma Roberts#Isabela Merced#Dakota Johnson
149,"Mar 01, 2024",The Fall Guy (2024),Action#Drama,Hannah Waddingham#Ryan Gosling#Teresa Palmer#Aaron Taylor-Johnson
150,"Mar 01, 2024",Elío (2024),Animation#Adventure#Comedy,America Ferrera#Yonas Kibreab
151,"Mar 03, 2024",No Family Without Blood (2024),Adventure#Mystery#Thriller,Philip Michael Thomas#Chance the Rapper#Michael Emery#Aaron D. Spears
152,"Mar 08, 2024",Kung Fu Panda 4 (2024),Animation#Action#Adventure,Seth Rogen#Jack Black#Angelina Jolie#Jackie Chan
153,"Mar 08, 2024",A Quiet Place: Day One (2024),Drama#Horror#Sci-Fi,Djimon Hounsou#Alex Wolff#Lupita Nyong'o#Joseph Quinn
154,"Mar 08, 2024",Untitled Dreamworks Animation Film (2024),,
155,"Mar 15, 2024",Godzilla x Kong: The New Empire (2024),Action#Adventure#Sci-Fi,Dan Stevens#Rebecca Hall#Brian Tyree Henry#Rachel House
156,"Mar 15, 2024",Heart Stopper (2024),Action#Romance#Thriller,Alexis Baca#Sabrina Culver#Molly Anne#William David
157,"Mar 15, 2024",Kage & Celeste (2024),Adventure,Tray Wright#Grayson McDonald#Casey Butcher#Robin Michelle Lee
158,"Mar 22, 2024",Snow White (2024),Adventure#Drama#Family,Rachel Zegler#Gal Gadot#Andrew Burnap#Luisa Guerreiro
159,"Mar 29, 2024",Spider-Man: Beyond the Spider-Verse (2024),Animation#Action#Adventure,Shameik Moore#Daniel Kaluuya#Mahershala Ali#John Mulaney
160,"Mar 29, 2024",Mickey 17 (2024),Adventure#Drama#Sci-Fi,Robert Pattinson#Toni Collette#Steven Yeun#Mark Ruffalo
161,"Mar 29, 2024",Untitled Universal Event Film (2024),,Rolando Davila-Beltran
162,"Apr 05, 2024",Untitled M. Night Shyamalan Project (2024),Horror#Thriller,
163,"Apr 12, 2024",The Lord of the Rings: The War of the Rohirrim (2024),Animation#Action#Adventure,Brian Cox#Miranda Otto#Luke Pasqualino#Shaun Dooley
164,"Apr 15, 2024",The Full House (2024),Action,Ian Burfield#Paul J. Lane#Tony Fadil#Dany Emozione
165,"Apr 19, 2024",Untitled Monster Thriller for Universal Pictures Project (2024),Horror#Thriller,Kathryn Newton#Melissa Barrera#Dan Stevens#Kevin Durand
166,"Apr 19, 2024",Nicktoons (2024),Animation#Action#Adventure,Amy Poehler#Dee Bradley Baker#Richard Steven Horvitz#Carlos Alazraqui
167,"Apr 30, 2024",El arca y el oso hormiguero (2024),Animation,Aubrey Plaza#Miles Teller#Jenny Slate#Stephen Merchant
168,"May 03, 2024",Captain America: New World Order (2024),Action#Adventure#Sci-Fi,Harrison Ford#Sebastian Stan#Rosa Salazar#Liv Tyler
169,"May 10, 2024",My Ex-Friend's Wedding (2024),Comedy,Amanda Seyfried#Ariana DeBose#Liza Koshy#Chloe Fineman
170,"May 24, 2024",Furiosa (2024),Action#Adventure#Sci-Fi,Anya Taylor-Joy#Chris Hemsworth#Tom Burke#Nathan Jones
171,"May 24, 2024",Kingdom of the Planet of the Apes (2024),Action#Sci-Fi,Neil Sandilands#Dichen Lachman#Freya Allan#Kevin Durand
172,"May 24, 2024",Garfield (2024),Animation#Adventure#Comedy,Hannah Waddingham#Chris Pratt#Brett Goldstein#Nicholas Hoult
173,"May 24, 2024",Imaginary Friends (2024),Comedy#Drama#Family,Phoebe Waller-Bridge#Matt Damon#Awkwafina#Ryan Reynolds
174,"May 24, 2024",Flanimals (2024),Animation#Adventure#Comedy,
175,"Jun 01, 2024",The Cincinnati Spin (2024),Comedy#Crime#Drama,Joseph D. Reitman#Alix Bénézech#Vas Blackwood#Charlie McElveen
